model_entity_id,entity_id,chain_id,uniprot_ac
AF-0000000000000004,1,A,Q9TVL3
AF-0000000000000004,1,B,Q9TVL3
AF-0000000000000005,1,A,O00400
AF-0000000000000006,1,A,O64637
AF-0000000000000007,1,A,Q6GZX4
AF-0000000000000008,1,A,Q6GZX3
AF-0000000000000009,1,A,Q197F8
AF-0000000000000010,1,A,Q197F7
AF-0000000000000011,1,A,Q6GZX2
AF-0000000000000012,1,A,Q6GZX1
AF-0000000000000013,1,A,Q197F5
AF-0000000000000014,1,A,Q6GZX0
AF-0000000000000015,1,A,Q91G88
AF-0000000000000016,1,A,Q6GZW9
AF-0000000000000017,1,A,Q6GZW8
AF-0000000000000018,1,A,Q197F3
AF-0000000000000019,1,A,Q197F2
AF-0000000000000020,1,A,Q6GZW6
AF-0000000000000021,1,A,Q91G85
AF-0000000000000022,1,A,Q6GZW5
AF-0000000000000023,1,A,Q197E9
AF-0000000000000024,1,A,Q6GZW4
AF-0000000000000025,1,A,Q6GZW3
AF-0000000000000026,1,A,Q197E7
AF-0000000000000027,1,A,Q6GZW2
AF-0000000000000028,1,A,Q6GZW1
AF-0000000000000029,1,A,Q6GZW0
AF-0000000000000030,1,A,Q6GZV8
AF-0000000000000031,1,A,Q6GZV7
AF-0000000000000032,1,A,Q6GZV6
AF-0000000000000033,1,A,Q6GZV5
AF-0000000000000034,1,A,Q6GZV4
AF-0000000000000035,1,A,Q197D8
AF-0000000000000036,1,A,Q6GZV2
AF-0000000000000037,1,A,Q197D7
AF-0000000000000038,1,A,Q6GZV1
AF-0000000000000039,1,A,Q197D5
AF-0000000000000040,1,A,Q91G70
AF-0000000000000041,1,A,Q6GZU9
AF-0000000000000042,1,A,Q6GZU8
AF-0000000000000043,1,A,Q197D2
AF-0000000000000044,1,A,Q6GZU7
AF-0000000000000045,1,A,Q91G67
AF-0000000000000046,1,A,Q197D0
AF-0000000000000047,1,A,Q6GZU6
AF-0000000000000048,1,A,Q6GZU5
AF-0000000000000049,1,A,Q6GZU4
AF-0000000000000050,1,A,Q197C8
AF-0000000000000051,1,A,Q91G65
AF-0000000000000052,1,A,Q6GZU3
AF-0000000000000053,1,A,Q6GZU2
AF-0000000000000054,1,A,Q91G63
AF-0000000000000055,1,A,Q6GZU1
AF-0000000000000056,1,A,Q6GZU0
AF-0000000000000057,1,A,Q197C3
AF-0000000000000058,1,A,Q6GZT9
AF-0000000000000059,1,A,Q6GZT7
AF-0000000000000060,1,A,Q6GZT6
AF-0000000000000061,1,A,Q197C0
AF-0000000000000062,1,A,Q91G57
AF-0000000000000063,1,A,Q6GZT5
AF-0000000000000064,1,A,Q6GZT4
AF-0000000000000065,1,A,Q91G56
AF-0000000000000066,1,A,Q91G55
AF-0000000000000067,1,A,Q6GZT3
AF-0000000000000068,1,A,Q197B6
AF-0000000000000069,1,A,Q6GZN9
AF-0000000000000070,1,A,Q91G54
AF-0000000000000071,1,A,Q6GZT1
AF-0000000000000072,1,A,Q197B5
AF-0000000000000073,1,A,Q6GZT0
AF-0000000000000074,1,A,Q6GZS9
AF-0000000000000075,1,A,Q6GZS8
AF-0000000000000076,1,A,Q6GZS7
AF-0000000000000077,1,A,Q91G50
AF-0000000000000078,1,A,Q197B1
AF-0000000000000079,1,A,Q6GZS6
AF-0000000000000080,1,A,Q6GZS5
AF-0000000000000081,1,A,Q6GZS4
AF-0000000000000082,1,A,Q197A7
AF-0000000000000083,1,A,Q6GZS3
AF-0000000000000084,1,A,Q6GZS2
AF-0000000000000085,1,A,Q197A6
AF-0000000000000086,1,A,Q6GZS1
AF-0000000000000087,1,A,Q67475
AF-0000000000000088,1,A,Q6GZR9
AF-0000000000000089,1,A,O55703
AF-0000000000000090,1,A,Q197A3
AF-0000000000000091,1,A,Q6GZR8
AF-0000000000000092,1,A,Q6GZR7
AF-0000000000000093,1,A,Q6GZR6
AF-0000000000000094,1,A,O55704
AF-0000000000000095,1,A,Q6GZR4
AF-0000000000000096,1,A,O55705
AF-0000000000000097,1,A,Q196Z8
